alias,project_id,sample_id
DP273,PRJNA834801,SAMN28062066
DP271,PRJNA834801,SAMN28062064
DP274,PRJNA834801,SAMN28062067
DP270,PRJNA834801,SAMN28062063
DP239,PRJNA834801,SAMN28062040
DP237,PRJNA834801,SAMN28062039
DP226,PRJNA834801,SAMN28062034
DP224,PRJNA834801,SAMN28062032
DP222,PRJNA834801,SAMN28062030
DP221,PRJNA834801,SAMN28062029
DP220,PRJNA834801,SAMN28062028
DP211,PRJNA834801,SAMN28062024
DC006,PRJNA834801,SAMN28061628
DP183,PRJNA834801,SAMN28062002
DP178,PRJNA834801,SAMN28061998
DP176,PRJNA834801,SAMN28061996
DP169,PRJNA834801,SAMN28061991
DP166,PRJNA834801,SAMN28061989
DP161,PRJNA834801,SAMN28061985
DP157,PRJNA834801,SAMN28061981
DP155,PRJNA834801,SAMN28061979
DP153,PRJNA834801,SAMN28061977
DC049,PRJNA834801,SAMN28061659
DP149,PRJNA834801,SAMN28061973
DP146,PRJNA834801,SAMN28061970
DP143,PRJNA834801,SAMN28061968
DP138,PRJNA834801,SAMN28061966
DP470,PRJNA834801,SAMN28062216
DP137,PRJNA834801,SAMN28061965
DP037,PRJNA834801,SAMN28061887
DP031,PRJNA834801,SAMN28061884
DP467,PRJNA834801,SAMN28062214
DP030,PRJNA834801,SAMN28061883
DP466,PRJNA834801,SAMN28062213
DC034,PRJNA834801,SAMN28061649
DP459,PRJNA834801,SAMN28062209
DP018,PRJNA834801,SAMN28061872
DP377,PRJNA834801,SAMN28062145
DP020,PRJNA834801,SAMN28061874
DP376,PRJNA834801,SAMN28062144
DP017,PRJNA834801,SAMN28061871
DP368,PRJNA834801,SAMN28062139
DP014,PRJNA834801,SAMN28061870
DP364,PRJNA834801,SAMN28062137
DP013,PRJNA834801,SAMN28061869
DP262,PRJNA834801,SAMN28062057
DP008,PRJNA834801,SAMN28061865
DP261,PRJNA834801,SAMN28062056
DC033,PRJNA834801,SAMN28061648
DP258,PRJNA834801,SAMN28062054
DP006,PRJNA834801,SAMN28061863
SC0558,PRJNA834801,SAMN28061857
DP244,PRJNA834801,SAMN28062044
DC297,PRJNA834801,SAMN28061845
DC060,PRJNA834801,SAMN28061666
DC294,PRJNA834801,SAMN28061843
DC158,PRJNA834801,SAMN28061742
DC293,PRJNA834801,SAMN28061842
DC155,PRJNA834801,SAMN28061740
DC292,PRJNA834801,SAMN28061841
DC159,PRJNA834801,SAMN28061743
DC288,PRJNA834801,SAMN28061838
DC154,PRJNA834801,SAMN28061739
DC287,PRJNA834801,SAMN28061837
DC153,PRJNA834801,SAMN28061738
DC282,PRJNA834801,SAMN28061834
DC027,PRJNA834801,SAMN28061645
DC151,PRJNA834801,SAMN28061736
DC223,PRJNA834801,SAMN28061795
DC016,PRJNA834801,SAMN28061635
DC221,PRJNA834801,SAMN28061794
DC145,PRJNA834801,SAMN28061731
DC022,PRJNA834801,SAMN28061641
DP103,PRJNA834801,SAMN28061941
DC217,PRJNA834801,SAMN28061791
DC215,PRJNA834801,SAMN28061789
DP095,PRJNA834801,SAMN28061936
DC213,PRJNA834801,SAMN28061787
DP092,PRJNA834801,SAMN28061934
DC041,PRJNA834801,SAMN28061655
DC212,PRJNA834801,SAMN28061786
DC037,PRJNA834801,SAMN28061652
DP058,PRJNA834801,SAMN28061905
DC021,PRJNA834801,SAMN28061640
DC208,PRJNA834801,SAMN28061783
DP054,PRJNA834801,SAMN28061902
DC204,PRJNA834801,SAMN28061780
DC128,PRJNA834801,SAMN28061722
DC127,PRJNA834801,SAMN28061721
DP050,PRJNA834801,SAMN28061899
DC036,PRJNA834801,SAMN28061651
DC013,PRJNA834801,SAMN28061633
DP043,PRJNA834801,SAMN28061893
DC111,PRJNA834801,SAMN28061708
DC203,PRJNA834801,SAMN28061779
DC107,PRJNA834801,SAMN28061704
DP501,PRJNA834801,SAMN28062239
DC202,PRJNA834801,SAMN28061778
DP499,PRJNA834801,SAMN28062237
DP498,PRJNA834801,SAMN28062236
DP493,PRJNA834801,SAMN28062232
DC200,PRJNA834801,SAMN28061776
DP492,PRJNA834801,SAMN28062231
DC199,PRJNA834801,SAMN28061775
DC098,PRJNA834801,SAMN28061695
DP626,PRJNA834801,SAMN28062332
DC198,PRJNA834801,SAMN28061774
DC196,PRJNA834801,SAMN28061773
DP625,PRJNA834801,SAMN28062331
DC193,PRJNA834801,SAMN28061770
DP624,PRJNA834801,SAMN28062330
DC189,PRJNA834801,SAMN28061769
DP619,PRJNA834801,SAMN28062325
DP621,PRJNA834801,SAMN28062327
DC188,PRJNA834801,SAMN28061768
DC097,PRJNA834801,SAMN28061694
DC187,PRJNA834801,SAMN28061767
DC186,PRJNA834801,SAMN28061766
DP616,PRJNA834801,SAMN28062323
DP615,PRJNA834801,SAMN28062322
DP613,PRJNA834801,SAMN28062321
DP553,PRJNA834801,SAMN28062277
DC019,PRJNA834801,SAMN28061638
DC001,PRJNA834801,SAMN28061624
DP606,PRJNA834801,SAMN28062317
DP550,PRJNA834801,SAMN28062275
DP604,PRJNA834801,SAMN28062315
DP540,PRJNA834801,SAMN28062267
DP600,PRJNA834801,SAMN28062311
DP539,PRJNA834801,SAMN28062266
DP594,PRJNA834801,SAMN28062306
DP593,PRJNA834801,SAMN28062305
DP538,PRJNA834801,SAMN28062265
DP587,PRJNA834801,SAMN28062301
DP458,PRJNA834801,SAMN28062208
DP533,PRJNA834801,SAMN28062262
DP443,PRJNA834801,SAMN28062194
DC077,PRJNA834801,SAMN28061681
DP525,PRJNA834801,SAMN28062256
DP520,PRJNA834801,SAMN28062253
DP441,PRJNA834801,SAMN28062193
DP360,PRJNA834801,SAMN28062134
DP514,PRJNA834801,SAMN28062249
DP513,PRJNA834801,SAMN28062248
DP509,PRJNA834801,SAMN28062246
DP430,PRJNA834801,SAMN28062184
DP424,PRJNA834801,SAMN28062181
DP422,PRJNA834801,SAMN28062179
DP420,PRJNA834801,SAMN28062178
DP336,PRJNA834801,SAMN28062114
DC068,PRJNA834801,SAMN28061673
DP334,PRJNA834801,SAMN28062112
DP332,PRJNA834801,SAMN28062110
DP328,PRJNA834801,SAMN28062108
DC067,PRJNA834801,SAMN28061672
DP322,PRJNA834801,SAMN28062103
DP319,PRJNA834801,SAMN28062100
DP407,PRJNA834801,SAMN28062168
DP406,PRJNA834801,SAMN28062167
DP405,PRJNA834801,SAMN28062166
DP404,PRJNA834801,SAMN28062165
DP402,PRJNA834801,SAMN28062164
DP401,PRJNA834801,SAMN28062163
DP391,PRJNA834801,SAMN28062154
DP310,PRJNA834801,SAMN28062095
DP312,PRJNA834801,SAMN28062096
DP307,PRJNA834801,SAMN28062092
DP300,PRJNA834801,SAMN28062086
DP294,PRJNA834801,SAMN28062081
DC057,PRJNA834801,SAMN28061664
DP202,PRJNA834801,SAMN28062018
DP200,PRJNA834801,SAMN28062016
DP198,PRJNA834801,SAMN28062014
DP197,PRJNA834801,SAMN28062013
DP195,PRJNA834801,SAMN28062012
DP194,PRJNA834801,SAMN28062011
DP189,PRJNA834801,SAMN28062008
DP188,PRJNA834801,SAMN28062007
DP193,PRJNA834801,SAMN28062010
DP186,PRJNA834801,SAMN28062005
DC054,PRJNA834801,SAMN28061662
DP127,PRJNA834801,SAMN28061959
DP124,PRJNA834801,SAMN28061958
DP123,PRJNA834801,SAMN28061957
DP119,PRJNA834801,SAMN28061953
DP114,PRJNA834801,SAMN28061949
DC005,PRJNA834801,SAMN28061627
DP078,PRJNA834801,SAMN28061922
DP077,PRJNA834801,SAMN28061921
DP074,PRJNA834801,SAMN28061919
DP075,PRJNA834801,SAMN28061920
DP070,PRJNA834801,SAMN28061915
DP069,PRJNA834801,SAMN28061914
DP067,PRJNA834801,SAMN28061912
DP065,PRJNA834801,SAMN28061910
DC279,PRJNA834801,SAMN28061832
DC276,PRJNA834801,SAMN28061830
DC273,PRJNA834801,SAMN28061828
DC269,PRJNA834801,SAMN28061825
DC268,PRJNA834801,SAMN28061824
DC266,PRJNA834801,SAMN28061822
DC265,PRJNA834801,SAMN28061821
DC259,PRJNA834801,SAMN28061818
DC255,PRJNA834801,SAMN28061816
DC253,PRJNA834801,SAMN28061814
DC252,PRJNA834801,SAMN28061813
DC246,PRJNA834801,SAMN28061809
DC245,PRJNA834801,SAMN28061808
DC243,PRJNA834801,SAMN28061806
DC239,PRJNA834801,SAMN28061804
